index,lemma,Type,id
244,மணி,Conjunctions,'00244
245,நடைதிற,Verb,'00245
246,விஷ்வரூபம்,Conjunctions,'00246
247,தரிசனம்,Conjunctions,'00247
248,உதய,Conjunctions,'00248
249,மார்த்தாண்டம்,Conjunctions,'00249
250,அபிஷேகம்,Conjunctions,'00250
251,மற்ற,Adjectives,'00251
252,பூஜை,Conjunctions,'00252
253,காலம்,Conjunctions,'00253
254,வெள்ளி,Conjunctions,'00254
255,பல்லக்கு,Conjunctions,'00255
256,கொடி,Conjunctions,'00256
257,பட்டம்,Conjunctions,'00257
258,வீதி,Conjunctions,'00258
259,உலா,Conjunctions,'00259
260,வேதம்,Conjunctions,'00260
261,ஓது,Verb,'00261
262,பஞ்வாத்தியம்,Conjunctions,'00262
263,முழங்கு,Verb,'00263
264,பக்தர்,Conjunctions,'00264
265,ஆரோகரா,Conjunctions,'00265
266,கோஷம்,Conjunctions,'00266
267,செப்பு,Conjunctions,'00267
268,மரம்,Conjunctions,'00268
269,கொடியேற்று,Verb,'00269
270,போட்டி,Conjunctions,'00270
271,வீரர்,Conjunctions,'00271
272,சூதாட்டம்,Conjunctions,'00272
273,ஈடுபடு,Verb,'00273
274,வாழ்நாள்,Conjunctions,'00274
275,தடை,Conjunctions,'00275
276,விதி,Verb,'00276
277,அணி,Conjunctions,'00277
278,முன்னாள்,Adjectives,'00278
279,பேட்ஸ்மேன்,Conjunctions,'00279
280,கிரிக்கெட்,Conjunctions,'00280
281,மோசடி,Conjunctions,'00281
282,இடம்தரு,Verb,'00282
283,கூடு,Verb,'00283
284,கூறு,Adjectives,'00284
285,விளையாடு,Verb,'00285
286,தடைவிதி,Verb,'00286
287,என்,Verb,'00287
288,அளி,Verb,'00288
289,முன்வா,Adjectives,'00289
290,வெள்ளம்,Conjunctions,'00290
291,நிவாரணம்,Conjunctions,'00291
292,முதல்,Conjunctions,'00292
293,தயக்கம்,Conjunctions,'00293
294,காட்டு,Verb,'00294
295,பின்னர்,Conjunctions,'00295
296,ஏற்றுக்கொள்,Verb,'00296
297,தற்போது,Conjunctions,'00297
298,உதவி,Conjunctions,'00298
299,நேரடி,Conjunctions,'00299
300,சபை,Conjunctions,'00300
301,தீர்மானி,Verb,'00301
302,பல்வேறு,Adjectives,'00302
303,பணியாற்று,Verb,'00303
304,எனவே,Conjunctions,'00304
305,தகவல்,Conjunctions,'00305
306,அனுப்பு,Verb,'00306
307,வெளியுறவு,Conjunctions,'00307
308,செய்தித்தொடர்பாளர்,Conjunctions,'00308
309,கொள்கை,Conjunctions,'00309
310,முத்தரப்பு,Conjunctions,'00310
311,இறுதிப்போட்டி,Conjunctions,'00311
312,நேற்று,Conjunctions,'00312
313,முடிவடை,Verb,'00313
314,காலை,Conjunctions,'00314
315,சொந்த,Adjectives,'00315
316,ஊர்,Conjunctions,'00316
317,புறப்பட்ட,Verb,'00317
318,செல்,Verb,'00318
319,நாளை,Conjunctions,'00319
320,மாலை,Conjunctions,'00320
321,ஏற்பாடு,Conjunctions,'00321
322,பாராட்டு,Conjunctions,'00322
323,விழா,Conjunctions,'00323
324,கல,Verb,'00324
325,எதிர்பார்,Verb,'00325
326,டெஸ்ட்,Conjunctions,'00326
327,விக்கெட்டு,Conjunctions,'00327
328,வீழ்த்து,Adjectives,'00328
329,பெருமை,Conjunctions,'00329
330,முரளிதரன்,Conjunctions,'00330
331,கௌரவி,Verb,'00331
332,தேசியம்,Conjunctions,'00332
333,படை,Conjunctions,'00333
334,சொந்தம்,Conjunctions,'00334
335,கொலம்பியா,Conjunctions,'00335
336,எல்லை,Conjunctions,'00336
337,விபத்துக்குள்ளாகு,Verb,'00337
338,உயிரிழ,Verb,'00338
339,அதிபர்,Conjunctions,'00339
340,ரஷ்யா,Conjunctions,'00340
341,தயாரிப்பு,Conjunctions,'00341
342,ஓடுதளம்,Conjunctions,'00342
343,சில,Adjectives,'00343
344,நிமிடம்,Conjunctions,'00344
345,விசாரணை,Conjunctions,'00345
346,தொலைக்காட்சி,Conjunctions,'00346
347,தென்மேற்கு,Conjunctions,'00347
348,போதைமருந்து,Conjunctions,'00348
349,கடத்தல்,Conjunctions,'00349
350,குழுவினர்,Conjunctions,'00350
351,தேடு,Adjectives,'00351
352,பணி,Conjunctions,'00352
353,மாசுபடுத்து,Adjectives,'00353
354,தொழிற்சாலை,Conjunctions,'00354
355,மூடு,Verb,'00355
356,உத்தரப்பிரதேச,Conjunctions,'00356
357,மாசுக்கட்டுப்பாடு,Conjunctions,'00357
358,வாரியம்,Conjunctions,'00358
359,ஆகஸ்ட்,Conjunctions,'00359
360,தேதி,Conjunctions,'00360
361,ஆறு,Conjunctions,'00361
362,நதிநீர்,Conjunctions,'00362
363,படுகை,Conjunctions,'00363
364,நிர்வாகம்,Conjunctions,'00364
365,பயிலரங்கு,Conjunctions,'00365
366,பங்கேல்,Verb,'00366
367,சுத்தப்படுத்து,Verb,'00367
368,மாசு,Conjunctions,'00368
369,கட்டுப்பாடு,Conjunctions,'00369
370,செயலின்மை,Conjunctions,'00370
371,விமர்சி,Verb,'00371
372,நதி,Conjunctions,'00372
373,செயல்படு,Verb,'00373
374,உடன்பாடு,Conjunctions,'00374
375,மண்டலம்,Conjunctions,'00375
376,அடை,Verb,'00376
377,மீனவர்,Conjunctions,'00377
378,விடுதலை,Conjunctions,'00378
379,தாண்டு,Verb,'00379
380,புகார்,Conjunctions,'00380
381,விடுவி,Verb,'00381
382,அடுத்த,Adjectives,'00382
383,சிறைச்சாலை,Conjunctions,'00383
384,துணை,Conjunctions,'00384
385,கண்காணிப்பாளர்,Conjunctions,'00385
386,அரபிக்,Conjunctions,'00386
387,கடல்,Conjunctions,'00387
388,மீன்,Conjunctions,'00388
389,குற்றச்சாட்டு,Conjunctions,'00389
390,அவ்வப்போது,Conjunctions,'00390
391,இருதரப்பு,Conjunctions,'00391
392,கைது,Conjunctions,'00392
393,முஸ்லீம்,Conjunctions,'00393
394,அமெரிக்கர்,Conjunctions,'00394
395,நம்பு,Verb,'00395
396,சமீபம்,Conjunctions,'00396
397,வெளி,Adjectives,'00397
398,கவலைப்படு,Verb,'00398
399,போ,Verb,'00399
400,சதவீத,Adjectives,'00400
401,ஆராய்ச்சி,Conjunctions,'00401
402,மையம்,Conjunctions,'00402
403,மாதம்,Conjunctions,'00403
404,தொடக்கம்,Conjunctions,'00404
405,மார்ச்,Conjunctions,'00405
406,சதவீதத்தினர்,Conjunctions,'00406
407,இப்போது,Conjunctions,'00407
408,அதிகரி,Verb,'00408
409,கிறிஸ்துவர்,Conjunctions,'00409
410,சதவீதம்,Conjunctions,'00410
411,குறை,Verb,'00411
412,மதம்,Conjunctions,'00412
413,குழப்பம்,Conjunctions,'00413
414,கண்டனம்,Conjunctions,'00414
415,வதந்தி,Conjunctions,'00415
416,பெரிதும்,Conjunctions,'00416
417,சிக்கு,Verb,'00417
418,போலீஸார்,Conjunctions,'00418
419,எனப்படு,Adjectives,'00419
420,ஆட்டம்,Conjunctions,'00420
421,நிகழ்வு,Conjunctions,'00421
422,முன்கூட்டி,Conjunctions,'00422
423,குற்றம்,Conjunctions,'00423
424,சாட்டு,Verb,'00424
425,விசாரி,Verb,'00425
426,இதனால்,Conjunctions,'00426
427,செய்தியாளர்,Conjunctions,'00427
428,மேலாளர்,Conjunctions,'00428
429,தூரகரம்,Conjunctions,'00429
430,எனினும்,Conjunctions,'00430
431,இதுவரை,Conjunctions,'00431
432,குற்றம்சாட்டு,Verb,'00432
433,எதிர்கொள்,Verb,'00433
434,வழக்கறிஞர்,Conjunctions,'00434
435,ஒருவர்,Conjunctions,'00435
436,நியமி,Verb,'00436
437,இப்போதைக்கு,Conjunctions,'00437
438,செவ்வாய்க்கிழமை,Conjunctions,'00438
439,அங்கிருந்து,Conjunctions,'00439
440,கார்,Conjunctions,'00440
441,எஸ்டேட்,Conjunctions,'00441
442,வழி,Conjunctions,'00442
443,மாவட்டம்,Conjunctions,'00443
444,குஞ்சப்பனை,Conjunctions,'00444
445,செயலர்,Conjunctions,'00445
446,தொழிற்சங்கம்,Conjunctions,'00446
447,உள்ளிட்டோர்,Conjunctions,'00447
448,வரவேல்,Verb,'00448
449,அதையடுத்து,Conjunctions,'00449
450,ஊராட்சி,Conjunctions,'00450
451,ஊர்மக்கள்,Conjunctions,'00451
452,சிறப்பு,Adjectives,'00452
453,வரவேற்பு,Conjunctions,'00453
454,நுழைவாயில்,Conjunctions,'00454
455,பிரமுகர்,Conjunctions,'00455
456,வழியெங்கு,Conjunctions,'00456
457,பொதுமக்கள்,Conjunctions,'00457
458,பூங்கொத்து,Conjunctions,'00458
459,தங்கு,Verb,'00459
460,மேற்கொள்,Verb,'00460
461,வட்டாரம்,Conjunctions,'00461
462,தமிழகம்,Conjunctions,'00462
463,பொறுப்பேல்,Verb,'00463
464,ஓய்வுபெறு,Verb,'00464
465,பொறுப்பு,Conjunctions,'00465
466,ஏற்கெனவே,Conjunctions,'00466
467,வகி,Verb,'00467
468,விழிப்பு,Conjunctions,'00468
469,கண்காணிப்புத்துறை,Conjunctions,'00469
470,ஆணையாளர்,Conjunctions,'00470
471,பதவி,Conjunctions,'00471
472,வாழ்த்து,Conjunctions,'00472
473,ஒப்படை,Verb,'00473
474,சேர்,Conjunctions,'00474
475,பூர்வீகம்,Conjunctions,'00475
476,கன்னடம்,Conjunctions,'00476
477,எழுது,Verb,'00477
478,விலங்கியல்,Conjunctions,'00478
479,படிப்பு,Conjunctions,'00479
480,பட்டயம்,Conjunctions,'00480
481,திருச்சி,Conjunctions,'00481
482,ஆட்சியர்,Conjunctions,'00482
483,பயிற்சி,Conjunctions,'00483
484,அடுத்தடுத்த,Adjectives,'00484
485,சார்பு,Conjunctions,'00485
486,இணை,Conjunctions,'00486
487,வேலைவாய்ப்பு,Conjunctions,'00487
488,இயக்குநர்,Conjunctions,'00488
489,அதற்கடுத்த,Adjectives,'00489
490,நிதித்துறை,Conjunctions,'00490
491,நகராட்சி,Conjunctions,'00491
492,குடிநீர்,Conjunctions,'00492
493,புள்ளியியல்,Conjunctions,'00493
494,ஆணையர்,Conjunctions,'00494
495,பிற்பகுதி,Conjunctions,'00495
496,உள்துறை,Conjunctions,'00496
497,கண்காணிப்பு,Conjunctions,'00497
498,இதன்பின்,Conjunctions,'00498
499,ஆட்சி,Conjunctions,'00499
500,பெண்,Conjunctions,'00500
501,செயலாளார்,Conjunctions,'00501
502,செப்டம்பர்,Conjunctions,'00502
503,சரி,Conjunctions,'00503
504,ஓய்வு,Conjunctions,'00504
505,செம்மொழி,Conjunctions,'00505
506,மாநாடு,Conjunctions,'00506
507,நீட்டிப்பு,Conjunctions,'00507
508,பெரு,Adjectives,'00508
509,முயற்சி,Conjunctions,'00509
510,முடி,Verb,'00510
511,சாதனை,Conjunctions,'00511
512,இது,Adjectives,'00512
513,உத்தரவு,Conjunctions,'00513
514,ஆளுநர்,Conjunctions,'00514
515,விரைவு,Conjunctions,'00515
516,செயலகம்,Conjunctions,'00516
517,நிறைவு,Conjunctions,'00517
518,வாய்ப்பு,Conjunctions,'00518
519,காவல்,Conjunctions,'00519
520,உயர்,Adjectives,'00520
521,அணை,Conjunctions,'00521
522,உடை,Verb,'00522
523,விபரீதம்,Adjectives,'00523
524,விளைவு,Conjunctions,'00524
525,உறவு,Conjunctions,'00525
526,பெரும்,Adjectives,'00526
527,விரிசல்,Conjunctions,'00527
528,ஏற்படுத்து,Verb,'00528
529,ஒதுக்கீடு,Conjunctions,'00529
530,பிரச்னை,Conjunctions,'00530
531,சாசனம்,Conjunctions,'00531
532,பெஞ்ச்,Conjunctions,'00532
533,கேரள,Conjunctions,'00533
534,வழக்கம்,Conjunctions,'00534
535,உச்சநீதிமன்றம்,Conjunctions,'00535
536,துச்சம்,Conjunctions,'00536
537,நினை,Verb,'00537
538,வழக்கு,Conjunctions,'00538
539,காரணம்,Conjunctions,'00539
540,பாதகம்,Conjunctions,'00540
541,உச்சம்,Conjunctions,'00541
542,நீதிமன்றம்,Conjunctions,'00542
543,தீர்ப்பு,Conjunctions,'00543
544,சாதகம்,Conjunctions,'00544
545,பேர்,Conjunctions,'00545
546,ஆஜர்,Adjectives,'00546
547,எழுத்துப்பூர்வம்,Conjunctions,'00547
548,ஒப்புதல்,Conjunctions,'00548
549,நோக்கம்,Conjunctions,'00549
550,தென்,Conjunctions,'00550
551,ஏக்கர்,Conjunctions,'00551
552,பாசனம்,Conjunctions,'00552
553,பாதி,Verb,'00553
554,உணர்,Verb,'00554
555,மோசம்,Conjunctions,'00555
556,பின்னடைவு,Conjunctions,'00556
557,அணுகுமுறை,Conjunctions,'00557
558,வாழ்வாதாரம்,Conjunctions,'00558
559,சூழல்,Conjunctions,'00559
560,நிலவு,Verb,'00560
561,திராவிடம்,Conjunctions,'00561
562,இயக்கம்,Conjunctions,'00562
563,வரலாறு,Conjunctions,'00563
564,தாக்கம்,Conjunctions,'00564
565,கட்சி,Conjunctions,'00565
566,சாராத,Adjectives,'00566
567,இளைஞர்,Conjunctions,'00567
568,அதிகளவு,Conjunctions,'00568
569,அழைப்பு,Conjunctions,'00569
570,போர்,Conjunctions,'00570
571,முகாம்,Conjunctions,'00571
572,உறுதி,Conjunctions,'00572
573,அங்கு,Conjunctions,'00573
574,அவர்,Conjunctions,'00574
575,பார்வையிடு,Verb,'00575
576,அங்குள்ள,Adjectives,'00576
577,நிறை,Conjunctions,'00577
578,முடிந்தளவு,Conjunctions,'00578
579,உதவு,Verb,'00579
580,தயார்,Conjunctions,'00580
581,இயன்றவரை,Conjunctions,'00581
582,கண்டிப்பாக,Conjunctions,'00582
583,உள்ளூர்,Conjunctions,'00583
584,ராணுவம்,Conjunctions,'00584
585,தலைமையகம்,Conjunctions,'00585
586,அழை,Verb,'00586
587,வடக்கு,Conjunctions,'00587
588,புலி,Conjunctions,'00588
589,பதுங்கு,Conjunctions,'00589
590,குழி,Conjunctions,'00590
591,பார்,Verb,'00591
592,வெடி,Adjectives,'00592
593,வெடிகுண்டு,Conjunctions,'00593
594,காண்பி,Verb,'00594
595,மறு,Adjectives,'00595
596,குடியமர்வு,Conjunctions,'00596
597,விவசாயம்,Conjunctions,'00597
598,உபகரணம்,Conjunctions,'00598
599,உபயோகம்,Conjunctions,'00599
600,பொருள்,Conjunctions,'00600
601,பிரதிநிதி,Conjunctions,'00601
602,ஆலோசனை,Conjunctions,'00602
603,மறுபடியும்,Conjunctions,'00603
604,குடியமர்த்து,Verb,'00604
605,வசதி,Conjunctions,'00605
606,கொடு,Verb,'00606
607,ஆலோசி,Verb,'00607
608,சிரமப்படு,Adjectives,'00608
609,தேவையானவற்றை,Conjunctions,'00609
610,தரு,Adjectives,'00610
611,நம்பிக்கை,Conjunctions,'00611
612,தூதர்,Conjunctions,'00612
613,விடுதலைப்புலி,Conjunctions,'00613
614,புதை,Verb,'00614
615,அப்புறப்படுத்து,Adjectives,'00615
616,முன்,Conjunctions,'00616
617,தீவு,Conjunctions,'00617
618,கிழக்கு,Conjunctions,'00618
619,வியாழக்கிழமை,Conjunctions,'00619
620,நிதியுதவி,Conjunctions,'00620
621,அறிவு,Verb,'00621
622,இதுதவிர,Conjunctions,'00622
623,சேகரி,Adjectives,'00623
624,குடும்பம்,Conjunctions,'00624
625,பாக்கெட்,Conjunctions,'00625
626,கூடாரம்,Conjunctions,'00626
627,மெட்ரிக்,Conjunctions,'00627
628,பேருந்து,Conjunctions,'00628
629,சிமென்ட்,Conjunctions,'00629
630,மூட்டை,Conjunctions,'00630
631,சேதமடை,Adjectives,'00631
632,பழுதுபார்,Verb,'00632
633,வட,Conjunctions,'00633
634,ரயில்,Conjunctions,'00634
635,பாதை,Conjunctions,'00635
636,துறைமுகம்,Conjunctions,'00636
637,கலாசாரம்,Conjunctions,'00637
638,விளையாட்டு,Conjunctions,'00638
639,அரங்கு,Conjunctions,'00639
640,ஆகியவற்றைக்,Conjunctions,'00640
641,இறக்கு,Verb,'00641
642,கடுமை,Adjectives,'00642
643,செய்தி,Conjunctions,'00643
644,அந்நாடு,Conjunctions,'00644
645,நகர்,Conjunctions,'00645
646,தயாராகு,Verb,'00646
647,புறப்படு,Verb,'00647
648,கீழ்,Conjunctions,'00648
649,ஊழியர்,Conjunctions,'00649
650,சர்ச்சைக்குரிய,Adjectives,'00650
651,முழு,Adjectives,'00651
652,விவரம்,Conjunctions,'00652
653,கிட்டத்தட்ட,Conjunctions,'00653
654,நேரம்,Conjunctions,'00654
655,தூதரகம்,Conjunctions,'00655
656,அச்சுறுத்தல்,Conjunctions,'00656
657,இந்த,Conjunctions,'00657
658,சம்பவம்,Conjunctions,'00658
659,அடுத்து,Verb,'00659
660,பயணம்,Conjunctions,'00660
661,ரத்து,Conjunctions,'00661
662,உத்தரவிடு,Verb,'00662
663,ஜார்க்கண்ட்,Conjunctions,'00663
664,நிகழ்,Adjectives,'00664
665,கடும்,Adjectives,'00665
666,துப்பாக்கிச்சண்டை,Conjunctions,'00666
667,போலீசார்,Conjunctions,'00667
668,காயமடை,Verb,'00668
669,வனப்பகுதி,Conjunctions,'00669
670,தலை,Conjunctions,'00670
671,குண்டு,Conjunctions,'00671
672,பாய்,Adjectives,'00672
673,ஐஜி,Conjunctions,'00673
674,அதிரடிப்படை,Conjunctions,'00674
675,இருவர்,Conjunctions,'00675
676,இதையடுத்து,Conjunctions,'00676
677,தும்கா,Conjunctions,'00677
678,விரை,Conjunctions,'00678
679,சதுர்த்தி,Conjunctions,'00679
680,பண்டிகை,Conjunctions,'00680
681,கொண்டாடு,Adjectives,'00681
682,முன்னிட்டு,Verb,'00682
683,நல்லெண்ணம்,Adjectives,'00683
684,கைதி,Conjunctions,'00684
685,பெரும்பாலானவர்,Conjunctions,'00685
686,ஆவர்,Verb,'00686
687,பிறப்பி,Verb,'00687
688,அமைச்சகம்,Conjunctions,'00688
689,மொத்தம்,Adjectives,'00689
690,விடுதலைசெய்,Verb,'00690
691,தீவிரவாதம்,Conjunctions,'00691
692,வெள்ளை,Conjunctions,'00692
693,மாளிகை,Conjunctions,'00693
694,இவ்வாறு,Conjunctions,'00694
695,உயிர்,Conjunctions,'00695
696,பிடிபடு,Verb,'00696
697,கொல்,Verb,'00697
698,அதற்கான,Adjectives,'00698
699,இரவு,Conjunctions,'00699
