,Morpheme,xpos,id,xpos Regex
181,லை,,-3038,Vr-T3PNAA
182,ந்,,-3031,NPND3PH-A
183,ம்,,-3005,VR-F3SNPA
184,தி,,-3036,Vt-T---AA
185,வ்,,-3012,Vu-T---AA
186,ாக,,-3006,AA-------
187,த்,,-2021,NNN-3SN--
188,ளன,,-3029,VR-T3PNAA
189,்ட,,-2022,Jd-D----A
190,ப்,,-3008,NO--3SN--
191,ச்,,-3022,NNN-3SN--
192,ங்,,-3011,NNL-3PN--
193,ிய,,-2020,Jd-D----A
194,கள,,-2012,NNL-3SN--
195,ின,,-2007,Vw-T---AA
196,யே,,-3091,AA-------
197,வே,,-3236,AA-------
198,ற்,,-3226,Vr-F3SNAA
199,ளு,,-3219,NND-3PA--
200,யா,,-3207,Vr-F3SNAA
201,டை,,-3149,Vt-T---AA
202,தல,,-3148,NNL-3SN--
203,வு,,-3139,NND-3SN--
204,டு,,-2039,NNA-3PN--
205,றி,,-3124,Vr-D3SHAA
206,க்,,-2025,NNN-3SN--
207,ல்,,-3109,NNN-3SN--
208,ான,,-3099,JJ-------
209,ாத,,-3118,Jd-T----N
210,்ப,,-3086,VT-T---PA
211,வத,,-3085,VzLF3SNAA
212,னத,,-3079,VzLD3SNAA
213,ட்,,-2022,NNN-3SN--
214,்க,,-3058,VR-D3SNAA
215,்ற,,-3059,Jd-D----A
216,ச,,-3176,NNA-3SN--
217,ு,,-3039,NPDF3PH-A
218,ய,,-3003,NNL-3SN--
219,ா,,-2028,Vr-F3SNAA
220,ர,,-3184,Vu-T---AA
221,ல,,-3178,Vu-T---AA
222,த,,-2021,Vr-T2SH-N
223,ெ,,-3171,Vt-T---AA
224,ண,,-3101,VR-D3SHAA
225,ள,,-3035,VR-T3SNAA
226,ட,,-3068,NNL-3SN--
227,ி,,-2037,Vt-T---AA
228,ற,,-3070,Vr-D3SHAA
229,ே,,-3128,AA-------
230,வ,,-2031,NNL-3SN--
231,்,,-3023,Vt-T---AA
