,Morpheme,xpos,id,xpos Regex
131,லாத,,-3191,Jd-T----N
132,யப்,,-3087,Vu-T---AA
133,டன்,,-3260,NNS-3SN--
134,ியத,,-3051,VzAD3SNAA
135,யவ்,,-3044,Vu-T---AA
136,ுச்,,-3086,Vt-T---AA
137,வது,,-3053,Uy-------
138,ும்,,-2027,RpN-3PA--
139,ாம்,,-3203,Uy-------
140,யக்,,-3202,Vu-T---AA
141,்டு,,-3010,Vt-T---AA
142,ற்க,,-3082,Vu-T---AA
143,வத்,,-3081,VzNF3SNAA
144,ிய்,,-3055,Vt-T---AA
145,ில்,,-2008,AA-------
146,ந்த,,-2019,VR-D3PHAA
147,கிற,,-2014,Jd-P----A
148,கைய,,-3197,NNL-3SN--
149,யாக,,-3057,AA-------
150,ளல்,,-3210,VZNT3SNAA
151,ரப்,,-3073,Vu-T---AA
152,ரவ்,,-3223,Vu-T---AA
153,லவ்,,-3243,Vu-T---AA
154,கள்,,-2012,RpN-3PA--
155,த்த,,-2021,NEL-3SN--
156,யாத,,-3160,Jd-T----N
157,்ற்,,-3125,Vt-T---AA
158,ார்,,-2029,VzNP3SNAA
159,க்க,,-2025,Vu-T---AA
160,்பட,,-3129,VR-F3SNPA
161,தல்,,-3157,NNN-3SN--
162,ரங்,,-3131,NND-3PN--
163,மல்,,-3046,Vt-T----N
164,ன்ற,,-3136,Jd-D----A
165,லப்,,-3137,Vu-T---AA
166,ால்,,-2005,NNL-3PN--
167,ிக்,,-3020,Vt-T---AA
168,ின்,,-2007,NEN-3PA--
169,தது,,-3242,VzND3SNAA
170,லத்,,-3144,Vu-T---AA
171,ஆம்,,-3245,Uy-------
172,ளத்,,-3124,VZNT3SNAA
173,ட்ட,,-2022,Vr-D3PHAA
174,ிற்,,-3227,NND-3SN--
175,யான,,-3099,Jd-D----A
176,ண்ட,,-3118,Jd-D----A
177,தத்,,-3240,VzND3SNAA
178,்றத,,-3113,VzAD3SNAA
179,ிச்,,-3185,Vt-T---AA
180,ளப்,,-3234,Vu-T---AA
181,ட்க,,-3161,Vu-T---AA
182,வாக,,-3233,AA-------
183,கள,,-2012,RpG-3PA--
184,த்,,-2021,NNN-3SN--
185,ின,,-2007,Vw-T---AA
186,ங்,,-3012,NNL-3PN--
187,வ்,,-3013,Vu-T---AA
188,ண்,,-3021,VT-T---AA
189,ந்,,-3032,NPND3PH-A
190,ய்,,-3042,NNN-3SN--
191,ம்,,-3006,VR-F3SNPA
192,ாக,,-3007,AA-------
193,லை,,-3040,Vr-T3PNAA
194,தி,,-3038,Vt-T---AA
195,்ட,,-2022,Jd-D----A
196,ச்,,-3023,NNN-3SN--
197,ப்,,-3009,NO--3SN--
198,ிய,,-2020,Jd-D----A
199,ளன,,-3030,VR-T3PNAA
200,றி,,-3135,Vr-D3SHAA
201,ல்,,-3119,NNN-3SN--
202,னத,,-3088,VzLD3SNAA
203,டை,,-3159,Vt-T---AA
204,தல,,-3158,NNL-3SN--
205,டு,,-2039,NNA-3PN--
206,ாத,,-3128,Jd-T----N
207,வு,,-3052,NED-3SN--
208,ன்,,-3200,RpG-3SN--
209,ர்,,-2034,NEN-3SH--
210,ான,,-3108,JJ-------
211,யே,,-3101,AA-------
212,வத,,-3094,VzLF3SNAA
213,்ப,,-3095,VT-T---PA
214,யா,,-3220,Vr-F3SNAA
215,ளு,,-3231,NND-3PA--
216,வே,,-3246,AA-------
217,்ற,,-3066,Jd-D----A
218,்க,,-3064,VR-D3SNAA
219,ற்,,-3063,RpD-3SN--
220,ட்,,-2022,NNN-3SN--
221,க்,,-2025,NNN-3SN--
222,ல,,-3186,Vu-T---AA
223,ய,,-3004,NNL-3SN--
224,ு,,-3003,RBD-3SA--
225,ம,,-3217,RpA-1PA--
226,ா,,-2028,Vr-F3SNAA
227,க,,-2025,NEL-3SN--
228,ர,,-3192,Vu-T---AA
229,வ,,-2031,NEL-3SN--
230,ச,,-3184,NNA-3SN--
231,ெ,,-3179,Vt-T---AA
232,த,,-2021,Vr-T2SH-N
233,ே,,-3139,AA-------
234,்,,-3024,Vt-T---AA
235,ண,,-3111,VR-D3SHAA
236,ற,,-3078,Vr-D3SHAA
237,ட,,-3076,NNL-3SN--
238,ி,,-2037,Vt-T---AA
239,ன,,-2017,RpA-3SN--
240,ள,,-3037,VR-T3SNAA
